,Height,Weight,Medal_Counts,Percentage_Win_H,Percentage_Win_W
1967,214,117,2,4.810545434927257,5.8729632864500205
1968,216,111,2,4.855503803477979,5.571785682016685
1969,217,115,2,4.87798298775334,5.772570751638908
1970,217,102,2,4.87798298775334,5.120019275366683
1971,218,115,2,4.900462172028701,5.772570751638908
1972,220,110,2,4.945420540579423,5.521589414611129
1991,138,66,1,3.10212742999982,3.312953648766678
1992,139,34,1,3.1246066142751814,1.7066730917888946
1993,139,32,1,3.1246066142751814,1.6062805569777832
1994,140,38,1,3.1470857985505423,1.9074581614111175
1995,140,32,1,3.1470857985505423,1.6062805569777832
1996,140,39,1,3.1470857985505423,1.9576544288166733
1997,140,56,1,3.1470857985505423,2.8109909747111206
1998,140,40,1,3.1470857985505423,2.007850696222229
1999,140,33,1,3.1470857985505423,1.656476824383339
2001,142,36,1,3.1920441671012645,1.807065626600006
2002,142,50,1,3.1920441671012645,2.509813370277786
2003,142,32,1,3.1920441671012645,1.6062805569777832
2004,142,35,1,3.1920441671012645,1.7568693591944504
2005,143,54,1,3.2145233513766254,2.7105984399000094
2006,143,31,1,3.2145233513766254,1.5560842895722276
2007,143,34,1,3.2145233513766254,1.7066730917888946
2008,144,33,1,3.2370025356519863,1.656476824383339
2009,144,55,1,3.2370025356519863,2.7607947073055645
2010,145,37,1,3.259481719927347,1.8572618940055619
2011,145,55,1,3.259481719927347,2.7607947073055645
2012,145,35,1,3.259481719927347,1.7568693591944504
2013,145,44,1,3.259481719927347,2.208635765844452
2014,145,36,1,3.259481719927347,1.807065626600006
2015,146,43,1,3.2819609042027085,2.1584394984388964
2016,146,46,1,3.2819609042027085,2.309028300655563
2017,146,39,1,3.2819609042027085,1.9576544288166733
2018,146,40,1,3.2819609042027085,2.007850696222229
2019,147,36,1,3.3044400884780694,1.807065626600006
2020,147,37,1,3.3044400884780694,1.8572618940055619
2021,147,34,1,3.3044400884780694,1.7066730917888946
2022,147,43,1,3.3044400884780694,2.1584394984388964
2023,147,48,1,3.3044400884780694,2.409420835466675
2024,148,39,1,3.3269192727534302,1.9576544288166733
2025,148,57,1,3.3269192727534302,2.861187242116676
