,Height,Weight,Medal_Counts
503,176.0,85.0,20
504,178.0,62.0,20
505,179.0,68.0,20
506,182.0,74.0,20
507,183.0,93.0,20
508,185.0,95.0,20
509,190.0,79.0,20
510,193.0,92.0,20
511,196.0,100.0,20
512,197.0,95.0,20
513,198.0,97.0,20
514,198.0,90.0,20
515,200.0,95.0,20
516,158.0,53.0,19
517,160.0,45.0,19
518,160.0,51.0,19
519,166.0,66.0,19
520,166.0,64.0,19
521,168.0,69.0,19
522,169.0,69.0,19
523,171.0,70.0,19
524,171.0,55.0,19
525,172.0,56.0,19
526,173.0,76.0,19
527,175.0,59.0,19
528,176.0,62.0,19
529,177.0,66.0,19
530,181.0,69.0,19
531,184.0,81.0,19
532,186.0,79.0,19
533,187.0,72.0,19
534,189.0,80.0,19
535,189.0,86.0,19
536,190.0,75.0,19
537,195.0,93.0,19
538,200.0,102.0,19
539,159.0,52.0,18
540,163.0,62.0,18
541,165.0,70.0,18
542,166.0,57.0,18
543,167.0,61.0,18
544,170.0,52.0,18
545,174.0,66.0,18
546,178.0,85.0,18
547,181.0,71.0,18
548,182.0,,18
549,183.0,67.0,18
550,183.0,100.0,18
551,183.0,95.0,18
552,186.0,73.0,18
553,186.0,74.0,18
554,186.0,87.0,18
555,187.0,88.0,18
556,188.0,,18
557,189.0,89.0,18
558,191.0,88.0,18
559,192.0,95.0,18
560,194.0,89.0,18
561,195.0,98.0,18
562,198.0,91.0,18
563,198.0,96.0,18
564,160.0,62.0,17
565,162.0,59.0,17
566,163.0,52.0,17
567,164.0,50.0,17
568,164.0,62.0,17
569,166.0,54.0,17
570,170.0,80.0,17
571,175.0,82.0,17
572,178.0,59.0,17
573,179.0,64.0,17
574,183.0,87.0,17
575,183.0,91.0,17
576,183.0,66.0,17
577,185.0,87.0,17
578,186.0,95.0,17
579,187.0,81.0,17
580,188.0,74.0,17
581,188.0,73.0,17
582,189.0,88.0,17
583,189.0,85.0,17
584,190.0,76.0,17
585,191.0,93.0,17
586,192.0,94.0,17
587,193.0,98.0,17
588,193.0,82.0,17
589,193.0,84.0,17
590,196.0,92.0,17
591,,75.0,16
592,157.0,48.0,16
593,162.0,63.0,16
594,163.0,50.0,16
595,164.0,63.0,16
596,166.0,65.0,16
597,173.0,57.0,16
598,174.0,55.0,16
599,175.0,57.0,16
600,178.0,95.0,16
601,179.0,60.0,16
602,181.0,66.0,16
603,181.0,86.0,16
604,181.0,84.0,16
605,182.0,68.0,16
606,182.0,88.0,16
607,186.0,70.0,16
608,186.0,91.0,16
609,187.0,93.0,16
610,188.0,76.0,16
611,192.0,91.0,16
612,192.0,87.0,16
613,193.0,94.0,16
614,193.0,100.0,16
615,194.0,96.0,16
616,196.0,96.0,16
617,198.0,89.0,16
618,150.0,48.0,15
619,160.0,59.0,15
620,162.0,61.0,15
621,163.0,,15
622,164.0,53.0,15
623,165.0,47.0,15
624,167.0,59.0,15
625,167.0,70.0,15
626,168.0,50.0,15
627,170.0,77.0,15
628,171.0,75.0,15
629,171.0,61.0,15
630,172.0,,15
631,173.0,80.0,15
632,174.0,76.0,15
633,176.0,77.0,15
634,176.0,79.0,15
635,177.0,77.0,15
636,177.0,79.0,15
637,179.0,,15
638,182.0,87.0,15
639,183.0,89.0,15
640,184.0,89.0,15
641,184.0,83.0,15
642,187.0,73.0,15
643,193.0,87.0,15
644,195.0,96.0,15
645,195.0,91.0,15
646,196.0,98.0,15
647,197.0,100.0,15
648,198.0,99.0,15
649,154.0,48.0,14
650,156.0,48.0,14
651,158.0,54.0,14
652,158.0,56.0,14
653,158.0,55.0,14
654,161.0,55.0,14
655,161.0,56.0,14
656,165.0,50.0,14
